TTT,LOS,Date of Search,Index,Hotel Name,Price Before Tax,Price After Tax,Rating,Classification,Reviews,Neighborhood
1,1,2024-07-20,0,Courtyard by Marriott New York City Manhattan Fifth Avenue,254,295,8.4,Very Good,1001,New York
1,1,2024-07-20,1,Millennium Hilton New York One UN Plaza,256,337,8.2,Very Good,1381,New York
1,1,2024-07-20,2,The Hotel Chelsea,490,510,9.8,Exceptional,725,Chelsea
1,1,2024-07-20,3,"PUBLIC, an Ian Schrager hotel",360,463,8.2,Very Good,2636,New York
1,1,2024-07-20,4,Hilton Garden Inn New York Times Square South,287,333,9.0,Wonderful,3228,New York
1,1,2024-07-20,5,Moxy NYC Downtown,269,291,8.6,Excellent,1050,New York
1,1,2024-07-20,6,Courtyard by Marriott New York World Trade Center Area,215,250,8.8,Excellent,570,New York
1,1,2024-07-20,7,The Maritime Hotel,277,290,9.4,Exceptional,1003,New York
1,1,2024-07-20,8,Moxy NYC Chelsea,290,370,8.6,Excellent,1020,Chelsea
1,1,2024-07-20,9,Hilton Garden Inn New York/West 35th Street,256,297,9.0,Wonderful,2174,New York
1,1,2024-07-20,10,Delta Hotels by Marriott New York Times Square,259,256,7.8,Good,536,New York
1,1,2024-07-20,11,Pod Times Square,233,294,8.8,Excellent,4191,New York
1,1,2024-07-20,12,45 Times Square Hotel,320,388,8.6,Excellent,1279,Theater District
1,1,2024-07-20,13,Hilton Garden Inn New York/Times Square Central,237,306,8.2,Very Good,1877,Theater District
1,1,2024-07-20,14,Park Terrace Hotel,311,401,9.4,Exceptional,1332,Central New York City
1,1,2024-07-20,15,Courtyard by Marriott New York City Manhattan Fifth Avenue,254,295,8.4,Very Good,1001,New York
1,1,2024-07-20,16,Hilton Garden Inn NYC Financial Center/Manhattan Downtown,237,275,8.8,Excellent,1732,New York
1,1,2024-07-20,17,Freehand New York,224,294,8.2,Very Good,1074,New York
1,1,2024-07-20,18,Fairfield Inn by Marriott New York Manhattan/Times Square,281,326,8.8,Excellent,1147,New York
1,1,2024-07-20,19,Fairfield Inn & Suites New York Midtown Manhattan/Penn Station,270,313,8.8,Excellent,1319,Chelsea
1,1,2024-07-20,20,Hotel 27 by LuxUrban,220,256,7.6,Good,459,New York
1,1,2024-07-20,21,Courtyard by Marriott New York Manhattan / Chelsea,281,328,9.2,Wonderful,1002,Chelsea
1,1,2024-07-20,22,"The Lexington Hotel, Autograph Collection",220,291,8.4,Very Good,1007,New York
1,1,2024-07-20,23,RIU Plaza Manhattan Times Square,445,370,9.0,Wonderful,3279,Theater District
1,1,2024-07-20,24,Hilton Garden Inn New York/Manhattan-Midtown East,265,308,8.2,Very Good,1256,New York
1,1,2024-07-20,25,Sheraton Tribeca New York Hotel,269,312,8.4,Very Good,1039,New York
1,1,2024-07-20,26,World Center Hotel,270,342,8.6,Excellent,2096,New York
1,1,2024-07-20,27,70 Park Avenue,220,296,9.0,Wonderful,1004,New York
1,1,2024-07-20,28,Hyatt Grand Central New York,287,379,8.0,Very Good,3849,New York
1,1,2024-07-20,29,Penny Williamsburg,379,410,9.4,Exceptional,532,Williamsburg
1,1,2024-07-20,30,"Park South Hotel, part of JdV by Hyatt",237,310,9.2,Wonderful,1001,New York
1,1,2024-07-20,31,Tuscany by LuxUrban,286,332,8.4,Very Good,1011,New York
1,1,2024-07-20,32,"Club Quarters Hotel, Grand Central",288,363,8.8,Excellent,2043,New York
1,1,2024-07-20,33,Best Western Premier Empire State Hotel,267,310,9.0,Wonderful,711,New York
1,1,2024-07-20,34,Paramount Times Square,224,301,7.2,Good,2770,Theater District
1,1,2024-07-20,35,Radio City Apartments,291,304,8.8,Excellent,3611,Theater District
1,1,2024-07-20,36,"Club Quarters, Times Square - Midtown",296,372,8.6,Excellent,2651,Central New York City
1,1,2024-07-20,37,The FIDI Hotel,254,270,8.8,Excellent,438,New York
1,1,2024-07-20,38,Courtyard New York Manhattan/ Midtown East,729,413,8.8,Excellent,2035,New York
1,1,2024-07-20,39,Pod 39,224,284,8.8,Excellent,1554,New York
1,1,2024-07-20,40,"The Beekman, A Thompson Hotel, by Hyatt",336,435,9.4,Exceptional,1002,New York
1,1,2024-07-20,41,"Club Quarters Hotel, World Trade Center",260,331,8.6,Excellent,1431,New York
1,1,2024-07-20,42,Hilton Garden Inn New York/Midtown Park Ave,264,306,8.4,Very Good,1009,New York
1,1,2024-07-20,43,Four Points by Sheraton Midtown-Times Square,269,312,8.8,Excellent,1340,New York
1,1,2024-07-20,44,Chelsea Savoy Hotel,275,319,8.6,Excellent,2005,Chelsea
1,1,2024-07-20,45,Millennium Hilton New York One UN Plaza,256,337,8.2,Very Good,1381,New York
1,1,2024-07-20,46,SpringHill Suites by Marriott New York Midtown Manhattan/Park Avenue,246,285,9.0,Wonderful,235,New York
1,1,2024-07-20,47,The Westin New York Grand Central,590,394,8.8,Excellent,2682,New York
1,1,2024-07-20,48,The Muse New York,344,444,9.2,Wonderful,1068,Theater District
1,1,2024-07-20,49,Aloft Long Island City - Manhattan View,279,276,8.6,Excellent,1002,Long Island City
1,1,2024-07-20,50,"The Bernic Hotel New York City, Tapestry Collection by Hilton",251,292,8.8,Excellent,1002,New York
1,1,2024-07-20,51,DoubleTree by Hilton New York Times Square West,271,315,7.2,Good,1340,New York
1,1,2024-07-20,52,East Village Hotel,226,265,8.2,Very Good,656,New York
1,1,2024-07-20,53,DoubleTree by Hilton New York Downtown,260,302,7.8,Good,1673,New York
1,1,2024-07-20,54,The New Yorker A Wyndham Hotel,284,363,8.2,Very Good,4688,New York
1,1,2024-07-20,55,Four Points By Sheraton New York Downtown,246,285,8.0,Very Good,1612,New York
1,1,2024-07-20,56,Millennium Downtown New York,289,342,7.4,Good,2358,New York
1,1,2024-07-20,57,Moxy NYC East Village,263,339,8.8,Excellent,1016,New York
1,1,2024-07-20,58,Park Lane New York,469,539,8.6,Excellent,962,Central New York City
1,1,2024-07-20,59,The Luxury Collection Hotel Manhattan Midtown,356,454,8.6,Excellent,1005,New York
1,1,2024-07-20,60,Archer Hotel New York,305,354,9.2,Wonderful,1007,Central New York City
1,1,2024-07-20,61,Broadway Plaza Hotel,329,355,9.2,Wonderful,1525,New York
1,1,2024-07-20,62,Arlo Midtown,349,398,9.2,Wonderful,5379,New York
1,1,2024-07-20,63,"Holiday Inn Manhattan 6th Ave - Chelsea, an IHG Hotel",254,295,7.4,Good,1007,Chelsea
1,1,2024-07-20,64,DoubleTree by Hilton Hotel New York City - Chelsea,267,310,7.8,Good,1092,Chelsea
1,1,2024-07-20,65,New York Marriott Marquis,423,535,9.2,Wonderful,2879,Theater District
1,1,2024-07-20,66,The Flat NYC,274,255,8.6,Excellent,301,New York
1,1,2024-07-20,67,Sofitel New York,284,364,8.6,Excellent,1006,Central New York City
1,1,2024-07-20,68,Renaissance New York Midtown Hotel,323,374,9.2,Wonderful,1003,New York
1,1,2024-07-20,69,Wingate by Wyndham New York Midtown South/5th Ave,285,330,8.6,Excellent,1010,New York
1,1,2024-07-20,70,The Hotel Chelsea,490,510,9.8,Exceptional,725,Chelsea
1,1,2024-07-20,71,Refinery Hotel,349,376,9.0,Wonderful,1006,Central New York City
1,1,2024-07-20,72,"Hotel Indigo - NYC Downtown - Wall Street, an IHG Hotel",216,286,9.0,Wonderful,908,New York
1,1,2024-07-20,73,Hampton Inn Madison Square Garden Area Hotel,220,256,8.2,Very Good,1063,Chelsea
1,1,2024-07-20,74,"Thompson Central Park New York, by Hyatt",315,405,9.0,Wonderful,627,New York
1,1,2024-07-20,75,"The Cloud One New York-Downtown, by the Motel One Group",289,335,8.8,Excellent,649,New York
1,1,2024-07-20,76,Hilton New York Fashion District,278,323,8.2,Very Good,1016,Chelsea
1,1,2024-07-20,77,W New York - Times Square,296,373,8.6,Excellent,1172,Theater District
1,1,2024-07-20,78,Grayson Hotel in the Unbound Collection by Hyatt,251,326,9.2,Wonderful,347,Central New York City
1,1,2024-07-20,79,"Holiday Inn New York City - Times Square, an IHG Hotel",292,339,8.2,Very Good,1473,New York
1,1,2024-07-20,80,Hotel Beacon,499,406,9.2,Wonderful,1044,Upper West Side
1,1,2024-07-20,81,Courtyard by Marriott New York Manhattan/SoHo,296,343,8.8,Excellent,978,New York
1,1,2024-07-20,82,Motto By Hilton New York City Times Square,239,312,9.0,Wonderful,966,Theater District
1,1,2024-07-20,83,Hotel 32 32,338,329,8.0,Very Good,1654,New York
1,1,2024-07-20,84,"The Algonquin Hotel Times Square, Autograph Collection",239,318,8.8,Excellent,1002,Central New York City
1,1,2024-07-20,85,"Park South Hotel, part of JdV by Hyatt",237,310,9.2,Wonderful,1001,New York
1,1,2024-07-20,86,The James New York - NoMad,249,339,8.6,Excellent,1005,New York
1,1,2024-07-20,87,Hotel Boutique at Grand Central,288,363,8.6,Excellent,1086,New York
1,1,2024-07-20,88,Loews Regency New York Hotel,499,578,9.0,Wonderful,1005,New York
1,1,2024-07-20,89,Courtyard by Marriott New York Manhattan / Chelsea,281,328,9.2,Wonderful,1002,Chelsea
1,1,2024-07-20,90,Hotel Stanford,314,345,8.6,Excellent,134,New York
1,1,2024-07-20,91,Orchard Street Hotel,233,288,7.2,Good,658,New York
1,1,2024-07-20,92,The Shoreham Hotel,246,297,7.6,Good,1007,Central New York City
